,Code,supermarket,fast_food,total_weekly_income,total_private_outdoor_space,rural_urban_settings
385,E02000401,0,1,640.0,243811.1,urban
386,E02000402,0,0,600.0,190745.8,urban
387,E02000403,0,3,750.0,165885.4,urban
388,E02000404,1,0,720.0,160116.5,urban
389,E02000405,0,1,1360.0,295141.4,urban
390,E02000406,0,0,680.0,148272.8,urban
391,E02000407,0,6,610.0,125061.2,urban
392,E02000408,2,4,630.0,118134.9,urban
393,E02000409,1,0,630.0,110610.1,urban
394,E02000410,1,0,1220.0,245413.7,urban
395,E02000411,1,1,690.0,143986.9,urban
396,E02000412,7,1,660.0,122519.6,urban
397,E02000413,0,0,1250.0,419629.0,urban
398,E02000414,0,1,770.0,133559.9,urban
399,E02000415,0,0,720.0,165170.1,urban
400,E02000416,1,1,820.0,130587.1,urban
401,E02000417,2,1,1290.0,294054.4,urban
402,E02000418,0,1,1300.0,215801.8,urban
403,E02000419,1,0,840.0,144123.6,urban
404,E02000420,2,0,630.0,164912.8,urban
405,E02000421,2,1,600.0,109821.0,urban
406,E02000422,1,0,700.0,97323.9,urban
407,E02000423,0,0,760.0,119440.3,urban
408,E02000424,0,0,1080.0,168778.3,urban
409,E02000425,1,0,890.0,101190.6,urban
410,E02000426,0,1,1210.0,635778.6,urban
411,E02000427,1,3,880.0,137900.8,urban
412,E02000428,1,0,630.0,98342.1,urban
413,E02000429,0,0,1370.0,322725.7,urban
414,E02000430,4,2,1310.0,198029.0,urban
415,E02000431,2,0,1470.0,202675.5,urban
416,E02000432,0,2,1030.0,137265.2,urban
417,E02000433,2,0,880.0,1021458.8,urban
418,E02000434,0,0,960.0,606342.4,urban
419,E02000435,0,0,900.0,606839.6,urban
420,E02000436,0,0,1160.0,883486.8,urban
421,E02000437,1,0,870.0,651319.4,urban
422,E02000438,2,2,880.0,642261.7,urban
423,E02000439,1,0,830.0,406370.0,urban
424,E02000440,1,3,1090.0,674278.3,urban
425,E02000441,1,1,930.0,810134.7,urban
426,E02000442,1,0,900.0,599091.9,urban
427,E02000443,1,0,780.0,398220.3,urban
428,E02000444,1,0,920.0,459761.6,urban
429,E02000445,1,2,800.0,409907.5,urban
430,E02000447,0,0,1030.0,589390.8,urban
431,E02000448,3,4,1180.0,807967.7,urban
432,E02000449,0,0,750.0,399965.9,urban
433,E02000451,1,0,1130.0,517923.0,urban
434,E02000452,2,4,950.0,320342.1,urban
435,E02000453,2,0,1000.0,392210.5,urban
436,E02000454,0,0,1250.0,697859.9,urban
437,E02000455,2,6,960.0,656295.6,urban
438,E02000456,0,1,980.0,340983.6,urban
439,E02000457,1,1,1080.0,501165.2,urban
440,E02000459,2,5,780.0,404446.4,urban
441,E02000460,1,0,800.0,266606.5,urban
442,E02000461,0,1,1100.0,407258.3,urban
443,E02000462,2,7,860.0,343181.4,urban
444,E02000463,0,0,810.0,433938.0,urban
445,E02000464,0,0,640.0,628887.7,urban
446,E02000465,0,1,630.0,491332.3,urban
447,E02000466,0,0,740.0,886581.5,urban
448,E02000467,1,0,570.0,446346.9,urban
449,E02000468,1,0,730.0,588595.9,urban
450,E02000469,0,1,650.0,403368.8,urban
451,E02000470,1,6,810.0,891486.1,urban
452,E02000471,0,0,870.0,834753.0,urban
453,E02000472,0,0,800.0,754318.6,urban
454,E02000473,2,0,880.0,833325.1,urban
455,E02000474,1,0,740.0,560870.4,urban
456,E02000475,1,0,920.0,1029952.2,urban
457,E02000476,9,0,720.0,407507.0,urban
458,E02000477,1,0,910.0,892349.0,urban
459,E02000478,0,0,1020.0,1310796.6,urban
460,E02000479,1,1,790.0,450946.3,urban
461,E02000480,0,0,800.0,601672.1,urban
462,E02000481,0,1,790.0,809229.8,urban
463,E02000482,1,1,1000.0,926977.4,urban
464,E02000483,1,0,730.0,619699.5,urban
465,E02000484,0,0,850.0,684970.0,urban
466,E02000485,2,2,860.0,673407.4,urban
467,E02000486,1,0,810.0,568103.1,urban
468,E02000487,1,1,1030.0,1101582.5,urban
469,E02000488,1,0,840.0,572226.1,urban
470,E02000489,2,0,740.0,494536.7,urban
471,E02000490,1,0,700.0,517635.5,urban
472,E02000491,0,0,690.0,652523.9,urban
473,E02000492,0,0,780.0,645525.2,urban
474,E02000493,1,0,740.0,350782.9,urban
475,E02000494,0,0,1120.0,1358544.3,urban
476,E02000495,2,0,920.0,791580.4,urban
477,E02000496,0,0,820.0,692537.8,rural
478,E02000497,0,0,960.0,785201.9,urban
479,E02000498,1,0,940.0,592475.8,urban
