,Code,supermarket,fast_food,total_weekly_income,total_private_outdoor_space,RUC11,rural_urban_settings
2547,E02002619,0,0,,324393.2,Urban city and town,urban
2548,E02002620,0,0,,181684.3,Urban city and town,urban
2549,E02002621,0,0,,161755.2,Urban city and town,urban
2550,E02002622,0,0,,622710.3,Urban city and town,urban
2551,E02002623,0,0,,297018.5,Urban city and town,urban
2552,E02002624,0,0,,1144510.0,Urban city and town,urban
2553,E02002625,0,0,,686702.0,Urban city and town,urban
2554,E02002626,0,0,,500698.9,Urban city and town,urban
2555,E02002627,0,0,,548931.6,Urban city and town,urban
2556,E02002628,0,0,,461991.9,Urban city and town,urban
2557,E02002629,0,0,,252006.5,Urban city and town,urban
2558,E02002630,0,0,,233311.3,Urban city and town,urban
2559,E02002631,0,0,,731078.9,Urban city and town,urban
2560,E02002632,0,0,,1272999.2,Rural village and dispersed,rural
2561,E02002633,0,0,,639866.3,Urban city and town,urban
2562,E02002634,0,0,,646511.7,Urban city and town,urban
2563,E02002635,0,0,,622228.7,Urban city and town,urban
2564,E02002636,0,0,,605683.2,Urban city and town,urban
2565,E02002637,0,0,,466081.5,Urban city and town,urban
2566,E02002638,0,0,,189259.6,Urban city and town,urban
2567,E02002639,0,0,,421504.5,Urban city and town,urban
2568,E02002640,0,0,,183049.3,Urban city and town,urban
2569,E02002641,0,0,,523792.4,Urban city and town,urban
